ID,Name,Concepticon_ID,Concepticon_Gloss
1,0,1294,ZERO
2,1,1493,ONE
3,2,1498,TWO
4,3,492,THREE
5,4,1500,FOUR
6,5,493,FIVE
7,6,1703,SIX
8,7,1704,SEVEN
9,8,1705,EIGHT
10,9,1483,NINE
11,10,1515,TEN
12,11,1706,ELEVEN
13,12,1707,TWELVE
14,13,1708,THIRTEEN
15,14,2451,FOURTEEN
16,15,1709,FIFTEEN
17,16,2454,SIXTEEN
18,17,2453,SEVENTEEN
19,18,1713,EIGHTEEN
20,19,1714,NINETEEN
21,20,1710,TWENTY
22,21,1734,TWENTY ONE
23,22,3166,TWENTY TWO
24,23,3165,TWENTY THREE
25,24,1736,TWENTY FOUR
26,25,1738,TWENTY FIVE
27,26,3476,TWENTY SIX
28,27,3477,TWENTY SEVEN
29,28,3478,TWENTY EIGHT
30,29,3479,TWENTY NINE
31,30,1715,THIRTY
32,31,3480,THIRTY ONE
33,32,3481,THIRTY TWO
34,33,3482,THIRTY THREE
35,34,3483,THIRTY FOUR
36,35,3484,THIRTY FIVE
37,36,3485,THIRTY SIX
38,37,3486,THIRTY SEVEN
39,38,3487,THIRTY EIGHT
40,39,3488,THIRTY NINE
41,40,1716,FORTY
42,41,3556,FORTY ONE
43,42,3557,FORTY TWO
44,43,3489,FORTY THREE
45,44,3490,FORTY FOUR
46,45,3491,FORTY FIVE
47,46,3558,FORTY SIX
48,47,3559,FORTY SEVEN
49,48,3492,FORTY EIGHT
50,49,3560,FORTY NINE
51,50,1717,FIFTY
52,51,3561,FIFTY ONE
53,52,3562,FIFTY TWO
54,53,3493,FIFTY THREE
55,54,3563,FIFTY FOUR
56,55,3494,FIFTY FIVE
57,56,3564,FIFTY SIX
58,57,3565,FIFTY SEVEN
59,58,3566,FIFTY EIGHT
60,59,3567,FIFTY NINE
61,60,1718,SIXTY
62,61,3568,SIXTY ONE
63,64,3570,SIXTY FOUR
64,67,3573,SIXTY SEVEN
65,68,3574,SIXTY EIGHT
66,69,3575,SIXTY NINE
67,70,1721,SEVENTY
68,72,3496,SEVENTY TWO
69,78,3581,SEVENTY EIGHT
70,80,1722,EIGHTY
71,82,3584,EIGHTY TWO
72,85,3586,EIGHTY FIVE
73,88,3589,EIGHTY EIGHT
74,89,3590,EIGHTY NINE
75,90,1724,NINETY
76,96,3500,NINETY SIX
77,100,1634,HUNDRED
78,101,3502,ONE HUNDRED AND ONE
79,102,3770,ONE HUNDRED AND TWO
80,103,3783,ONE HUNDRED AND THREE
81,105,,
82,110,3503,ONE HUNDRED AND TEN
83,111,3771,ONE HUNDRED AND ELEVEN
84,112,,
85,119,,
86,120,3504,ONE HUNDRED AND TWENTY
87,122,,
88,136,,
89,150,3508,ONE HUNDRED AND FIFTY
90,153,,
91,170,,
92,175,,
93,180,3510,ONE HUNDRED AND EIGHTY
94,187,,
95,200,2676,TWO HUNDRED
96,202,3785,TWO HUNDRED AND TWO
97,203,,
98,204,,
99,211,,
100,216,3512,TWO HUNDRED AND SIXTEEN
101,221,,
102,222,,
103,224,,
104,225,,
105,238,,
106,240,3787,TWO HUNDRED AND FORTY
107,255,,
108,272,,
109,289,,
110,290,,
111,300,3513,THREE HUNDRED
112,345,,
113,350,,
114,352,,
115,356,,
116,400,3515,FOUR HUNDRED
117,500,3516,FIVE HUNDRED
118,525,,
119,574,,
120,600,3517,SIX HUNDRED
121,700,3518,SEVEN HUNDRED
122,800,3519,EIGHT HUNDRED
123,900,3520,NINE HUNDRED
124,1000,1843,THOUSAND
125,1001,3773,ONE THOUSAND AND ONE
126,1111,,
127,1220,,
128,1222,,
129,1296,3523,ONE THOUSAND TWO HUNDRED AND NINETY SIX
130,1312,,
131,1498,,
132,1914,,
133,1935,,
134,1946,,
135,1953,,
136,1961,,
137,1973,,
138,2000,3524,TWO THOUSAND
139,2342,,
140,2385,,
141,3000,3525,THREE THOUSAND
142,3426,,
143,3456,,
144,4000,3526,FOUR THOUSAND
145,4400,,
146,5000,3527,FIVE THOUSAND
147,6000,3792,SIX THOUSAND
148,7000,3528,SEVEN THOUSAND
149,7776,3529,SEVEN THOUSAND SEVEN HUNDRED AND SEVENTY SIX
150,8000,3793,EIGHT THOUSAND
151,9000,3530,NINE THOUSAND
152,9765,,
153,10000,2078,TEN THOUSAND
154,11000,,
155,20000,,
156,25000,,
157,26452,,
158,30000,,
159,46656,3531,FORTY SIX THOUSAND SIX HUNDRED AND FIFTY SIX
160,80000,,
161,100000,3532,ONE HUNDRED THOUSAND
162,199567,,
163,1000000,3533,ONE MILLION
164,2000000,3794,TWO MILLION
165,2345678,,
166,2500000,,
167,3500000,,
168,10000000,3599,BILLION
